"ID","Kalimat","Kelas"
"371","Fraksi Partai Keadilan Sejahtera8 .","Other"
"372","Fraksi PPP9 .","Other"
"373","Fraksi Partai Nasdem10 .","Other"
"374","Fraksi Partai Hati Nurani Rakyat55 dari 106 orang anggota .","Statement"
"375","45 dari 90 orang anggota .","Statement"
"376","41 dari 73 orang anggota .","Other"
"377","32 dari 60 orang anggota .","Other"
"378","25 dari 48 orang anggota .","Other"
"379","22 dari 47 orang anggota .","Other"
"380","20 dari 40 orang anggota .","Statement"
"381","20 dari 39 orang anggota .","Statement"
"382","20 dari 36 orang anggota .","Statement"
"383","6 dari 16 orang anggota .","Other"
"384","19Dengan demikian korum telah tercapai, dengan mengucapkan Bism illaahirrahmaanirrahiim , perkenankanlah kami selaku Pimpinan Rapat Dewan membuka Rapat Paripurna DPR Rl yang ke-26 Masa Persidangan III Tahun Sidang 2014-2015 pada hari ini hari Selasa, tanggal 21 April 2015 dan kami nyatakan terbuka untuk umum .","Other"
"385","(RAPAT DIBUKA PUKUL 16 .","Other"
"386","20 WIB)Berdasarkan Pasal 59 Ayat (1) huruf (d) Undang-undang Nomor 24 Tahun 2009 tentang Bendera, Bahasa dan Lambang Negara, serta Lagu Kebangsaan, disebutkan bahwa Lagu Kebangsaan wajib diperdengarkan dan/atau dinyanyikan dalam acara pembukaan Sidang Paripurna MPR, DPR, DPD dan DPRD .","Statement"
"387","Berkaitan dengan itu, izinkan kami mengajak seluruh hadirin untuk berdiri dan menyanyikan lagu kebangsaan Indonesia Raya .","Statement"
"388","Hadirin, dipersilakan berdiri .","Other"
"389","(MENYANYIKAN LAGU INDONESIA RAYA)Hadirin, dipersilakan duduk kembali .","Other"
"390","Sidang Dewan yang kami hormati,Sesuai dengan Rapat Konsultasi Pimpinan DPR Rl dengan Pimpinan Fraksi DPR Rl sebagai pengganti Rapat Bamus DPR Rl, tanggal 21 April 2015, acara Rapat Paripurna hari ini adalah:1 .","Other"
"391","Laporan Komisi XI DPR Rl terhadap hasil Fit and Proper Test Calon Deputi Gubernur Bank Indonesia, dilanjutkan dengan pengambilan keputusan .","Other"
"392","Laporan Badan Urusan Rumah Tangga DPR Rl terhadap Hasil Pembahasan Rancangan Kerja dan Anggaran DPR Rl Tahun Anggaran 2016 dilanjutkan dengan pengambilan keputusan .","Other"
"393","20Sekarang kami akan menanyakan kepada Sidang Dewan yang terhormat, apakah acara tersebut dapat disetujui?(RAPAT: SETUJU)Sidang Dewan yang kami hormati,Sebelumnya kami beritahukan bahwa Pimpinan Dewan telah menerima dua pucuk surat yaitu:1 .","Other"
"394","Surat dari Presiden Republik Indonesia dengan Nomor R21/Pres/04/2015 tertanggal 8 April 2015 Perihal Rencana Ratifikasi Agreement on Trade and Services Under in the Framework Agreement on Comprehensive Economic Cooperation beetween the Association of South East Asia Nation and The Republic of India atau Persetujuan mengenai Perdagangan Jasa dalam Persetujuan Kerangka Kerja Sama Ekonomi Menyeluruh antara Asosiasi Bangsa-bangsa Asia Tenggara dan Republik India .","Other"
"395","Surat dari Presiden Republik Indonesia dengan Nomor R24/Pres/04/2015 tertanggal 20 April 2015 Perihal Permohonan Pertimbangan Anggota Badan Amil Zakat Nasional dari unsur masyarakat .","Other"
"396","Selanjutnya untuk keseluruhan surat-surat tersebut sesuai dengan Peraturan DPR Rl Nomor 1 tahun 2014 tentang Tata Tertib akan ditindaklanjuti sesuai dengan mekanisme yang berlaku .","Other"
"397","Sidang Dewan yang kami hormati,Selanjutnya marilah kita memasuki acara pertama Rapat Paripurna Dewan hari ini yaitu Laporan Komisi XI DPR Rl terhadap Hasil and Proper Test Calon Deputi Gubernur Bank Indonesia dilanjutkan dengan Pengambilan Keputusan .","Other"
"398","Untuk itu kami21persilakan kepada Pimpinan Komisi XI DPR Rl yang terhormat Saudara Dr. Ir. Fade! Muhamad untuk menyampaikan laporannya .","Other"
"399","Kami persilakan .","Other"
"400","PIMPINAN KOMISI XI DPR Rl (Dr Ir FADEL MUHAMAD):Assalaamu'alaikum Warahmatullaahi Wabarakatuh,Bismillaah Walkhamdulillaah Wassalaatu Wassalaamualaa rasulillaah,Selamat siang,salam sejahtera untuk kita sekalian .","Other"
"401","Yang kami hormati Saudara Pimpinan Rapat, Saudara Pimpinan DPR Rl, Anggota Dewan dan hadirin yang berbahagia .","Other"
"402","Sebelum kami melaporkan pembahasan Calon Deputi Gubernur Bank Indonesia, perkenankan kami mengajak hadirin sekalian menyampaikan puji dan syukur kehadirat Allah SWT Yang Maha Kuasa, kita telah diberi hidayah kesehatan untuk menghadiri pertemuan pada siang hari ini dalam keadaan sehat wal afiat .","Other"
"403","Sidang Dewan yang kami hormati,Berdasarkan ketentuan Pasal 41 Undang-undang Nomor 23 Tahun 1999 tentang Bank Indonesia sebagaimana telah diubah terakhir dengan Undang-undang Nomor 6 Tahun 2009, bahwa Gubernur, Deputi Senior dan Deputi Gubernur Bank Indonesia diusulkan dan diangkat oleh Presiden dengan persetujuan Dewan Perwakilan Rakyat .","Other"
"404","Sesuai dengan Surat Presiden Nomor R18 tanggal 27 Februari 2015 Perihal Usui Calon Deputi Gubernur Bank Indonesia, Presiden Republik Indonesia mengajukan calon pengganti Saudara Halim Alamsyah sebagai Deputi Gubernur Bank Indonesia yang bertugas dibidang stabilitas sistem keuangan dengan 3 orang calon pengganti .","Other"
"405","Yang pertama, Saudara Dodi Budi Waluyo .","Other"
"406","Yang kedua, Saudara Erwin Riyanto .","Other"
"407","Yang ketiga, Saudari Hendi Sulistiyowati .","Other"
"408","22Menindaklanjuti penugasan tersebut, Komisi XI melakukan serangkaian kegiatan sebagai berikut:1 .","Other"
"409","Dalam rangka mendapatkan informasi yang akurat, akuntabel maka Komisi XI melaksanakan Rapat Dengar Pendapat dengan PPATK pada tanggal 15 Februari dan diperoleh ketiga calon tersebut tidak ada transaksi yang aneh dan tidak ada sesuatu yang membuat kita tidak percaya .","Other"
"410","Tanggal 20 April 2015, Komisi XI melakukan RDPU yaitu Fit and Proper Test terhadap ketiga Calon Deputi Gubernur Bank Indonesia dengan memberikan kesempatan kepada masing-masing menyampaikan visi dan misi kurang lebih 15 sampai 20 menit, kemudian diteruskan dengan tanya jawab .","Other"
"411","RDPU dimulai Pukul 10 .","Other"
"412","30 WIB dengan pengantar Deputi Gubernur Senior Bank Indonesia karena Saudara Gubernur Bank Indonesia sedang bertugas ke Amerika dan pertemuan tersebut kita akhiri pada Pukul 18 .","Other"
"413","00 WIB .","Other"
"414","Tanggal 20 April 2015, Pukul 19 .","Other"
"415","30 WIB, Komisi XI DPR Rl melaksanakan rapat intern untuk melakukan proses pengambilan keputusan .","Opinion"
"416","Sesuai dengan Peraturan Tata Tertib, rapat intern Komisi XI memutuskan pengambilan keputusan dilakukan melalui mekanisme pemungutan suara atau voting .","Other"
"417","Setelah dilakukan penghitungan suara terhadap Calon Deputi Gubernur Bank Indonesia diperoleh hasil sebagai berikut:1) Saudara Dodi Budi Waluyo memperoleh 5 suara .","Other"
"418","2) Saudara Erwin Riyanto memperoleh 42 suara .","Other"
"419","3) Saudari Hendi Sulistiyowati memperoleh 2 suara .","Other"
"420","Dan ternyata ada 4 suara yang tidak sah .","Other"
"421","Berdasarkan hasil perhitungan suara tersebut, Komisi XI, Saudara-saudara sekalian, menyepakati memilih Saudara Erwin Riyanto sebagai Deputi Gubernur Bank Indonesia pengganti Saudara Halim Alamsyah .","Other"
"422","Saudara Erwin, saya persilakan untuk berdiri .","Other"
"423","Orangnya sederhana .","Other"
"424","Terima kasih .","Other"
"425","Saudara Erwin, silakan duduk kembali .","Other"
"426","23Saudara-saudara, Saudara Pimpinan, Anggota Dewan serta hadirin yang kami hormati,Sebelum kami mengakhiri laporan Komisi XI tentang Pemilihan Calon Deputi Gubernur Bank Indonesia yang sudah terpilih, kami Komisi XI menghaturkan banyak terima kasih kepada semua pihak yang telah memberikan dukungan, masukan tentang calon tersebut dan kepada Saudara Erwin Riyanto, kami mengucapkan selamat bekerja secara cerdas, menjaga integritas Saudara .","Request"
"427","Demikianlah laporan Komisi XI kami sampaikan, selanjutnya kami mengharapkan persetujuan atas laporan Komisi XI, dan atas perhatian dan persetujuannya kami Komisi XI menghaturkan banyak terima kasih .","Opinion"
"428","Wallahu Must aan,Wabillahi Taufiq Walhidayah,Wassalamu'alaikum Warrahmatullahi Wabarakatuh .","Other"
"429","KETUA RAP AT:Terima kasih kami sampaikan kepada Saudara Dr. Ir. Fadel Muhammad yang telah menyampaikan laporannya .","Opinion"
"430","Sidang Dewan yang kami hormati,Sekarang perkenankanlah kami menanyakan kepada Sidang Dewan yang terhormat, apakah laporan Komisi XI DPR Rl terhadap hasil fit and proper test calon Deputi Gubernur Bank Indonesia tersebut dapat disetujui?(RAPAT: SETUJU)Terima kasih .","Other"
"431","Kami perkenalkan Deputi Gubernur Bank Indonesia yang telah ditetapkan dalam Rapat Paripurna hari ini, yaitu Saudara Erwin Riyanto .","Other"
"432","24Sidang Dewan yang kami hormati,Dengan demikian selesailah acara pertama Rapat Paripurna Dewan pada hari ini .","Statement"
"433","Sebelum kita memasuki acara berikutnya, rapat kami tunda beberapa menit untuk memberikan kesempatan kepada yang terhormat Saudara Deputi Gubernur Bank Indonesia untuk meninggalkan ruang sidang .","Statement"
"434","Kepada para Anggota diminta untuk tetap di tempatnya masing-masing .","Statement"
"435","Dengan ini rapat kami skors .","Statement"
"436","(RAPAT DISKORS PUKUL 16 .","Other"
"437","35 WIB)(SKORS DICABUT PUKUL 16 .","Other"
"438","36 WIB)Yang kami hormati Bapak ibu para Anggota Dewan,Dengan ini skors telah kami cabut .","Other"
"439","Selanjutnya marilah kita memasuki acara yang kedua, yaitu Laporan Badan Urusan Rumah Tangga DPR Rl terhadap Hasil Pembahasan Rancangan Kerja dan Anggaran DPR Rl Tahun Anggaran 2016, dilanjutkan dengan pengambilan keputusan .","Other"
"440","Perlu kami beritahukan bahwa berdasarkan ketentuan Pasal 92 Ayat (3) Peraturan DPR Rl tentang Tata Tertib, BURT melaporkan hasil pembahasan rencana kerja dan anggaran dalam Rapat Paripurna DPR Rl .","Other"
"441","Untuk itu kami persilakan kepada Pimpinan Badan Urusan Rumah Tangga DPR Rl, yang terhormat Saudara Dr. H. R. Achmad Dimyati Natakusuma, S. H. , M. H. , M. Si .","Suggestion"
"442","untuk menyampaikan laporannya .","Other"
"443","Kami persilakan .","Other"
"444","KETUA BURT (Dr H R ACHMAD DIMYATI NATAKUSUMAH, SH, MH, MSi):Bismillaahirrahmaanirahiim,Assalaamu'alaikum Warrahmatullaahi Wabarakatuh .","Other"
"445","Selamat sore dan salam sejahtera bagi kita semua .","Other"
"446","Yang terhormat Pimpinan dan Anggota DPR Rl,Ibu Sekjen serta jajarannya dan25hadirin, hadirat yang berbahagia .","Other"
"447","Perkenankan saya mewakili Badan Urusan Rumah Tangga DPR Rl untuk menyampaikan Laporan mengenai Rancangan Anggaran DPR Rl Tahun 2016, sebagai usulan kepada Menteri Keuangan untuk menjadikan Pagu Indikatif dalam Rapat Paripurna untuk ditetapkan .","Suggestion"
"448","Atas kesempatan yang diberikan, saya sampaikan terima kasih .","Other"
"449","Dengan ditetapkannya Undang-undang Nomor 42 Tahun 2014 tentang Perubahan atas Undang-undang Nomor 17 Tahun 2014 tentang MPR, DPR, DPD dan DPRD, Pasal 75 Ayat (1) menyebutkan bahwa DPR Rl memiliki kemandirian dalam menyusun anggaran yang dituangkan ke dalam program dan kegiatan, disampaikan kepada Presiden untuk dibahas bersama DPR Rl, sesuai dengan ketentuan peraturan perundang-undangan"" .","Suggestion"
"450","Seiring dengan telah dimulainya penyusunan RAPBN Tahun 2016, maka BURT (Badan Urusan Rumah Tangga) telah menerima usulan anggaran dari alat kelengkapan DPR Rl dan Sekretariat Jenderal DPR Rl, serta telah dikompilasi menjadi Rancangan Kebutuhan Anggaran DPR Rl Tahun Anggaran 2016 .","Suggestion"
"451","Hal ini sesuai dengan Pasal 91 Ayat (1) Peraturan DPR Rl Nomor 1 Tahun 2014 tentang Tata Tertib .","Other"
"452","Selanjutnya untuk memenuhi ketentuan Pasal 92 Ayat (3) Tata Tertib, bahwa BURT melaporkan Rencana Kerja dan Anggaran DPR Rl dalam Rapat Paripurna DPR Rl untuk ditetapkan, maka pada kesempatan Rapat Paripurna hari ini perkenankan kami sampaikan bahwa kebutuhan anggaran DPR Rl sesuai dengan usulan Tahun Anggaran 2016 dari seluruh alat kelengkapan dan Sekretariat Jenderal DPR Rl adalah sebesar Rp6 .","Other"
"453","000,- besaran ini untuk mengakomodir perubahan Undang-undang MD3 dan penguatan unsur pendukung lainnya di DPR Rl .","Other"
"454","Demikianlah laporan BURT tentang kebutuhan anggaran DPR Rl Tahun 2016 .","Statement"
"455","Harapan agar kebutuhan anggaran DPR Rl tersebut dapat ditetapkan dalam Rapat Paripurna ini dan segera disampaikan kepada Pemerintah .","Other"
"456","Selanjutnya kita semua juga berharap agar kinerja lembaga DPR Rl dapat lebih baik seiring dengan komitmen mewujudkan lembaga parlemen yang modern dalam memenuhi amanat, aspirasi masyarakat .","Statement"
"457","Demikian, terima kasih .","Other"
"458","26Wabillaahittaufiq walhidayah,Wassalaamu'alaikum Warrahmatullaahi Wabarakatuh .","Other"
"459","KETUA RAP AT:Terima kasih kami sampaikan kepada Suadara Dr. H. R. Achmad Dimyati Natakusuma, S. H. , M. H. , M. Si .","Other"
"460",", yang telah menyampaikan laporannya .","Other"
"461","Sidang Dewan yang kami hormati,Sekarang perkenankanlah kami menanyakan kepada Sidang Dewan yang terhormat, apakah Laporan Badan Urusan Rumah Tangga DPR Rl terhadap Hasil Pembahasan Rancangan Kerja dan Anggaran DPR Rl Tahun Anggaran 2016 tersebut dapat disetujui?(RAPAT: SETUJU)Terima kasih .","Other"
"462","Selanjutnya persetujuan Rapat Paripurna Dewan terhadap Laporan Pimpinan BURT DPR Rl tersebut akan kita proses lebih lanjut sesuai dengan mekanisme yang ada .","Other"
"463","Sidang Dewan yang terhormat,Sebelum menutup Rapat Paripurna pada hari ini diberitahukan sehubungan dengan pelaksanaan Konferensi Parlemen Asia-Afrika DPR Rl pada hari Kamis, tanggal 23 April 2015, pukul 08 .","Other"
"464","30 WIB di Gedung Nusantara, dimohon kehadiran Anggota DPR Rl dengan membawa undangan untuk acara dimaksud .","Statement"
"465","Undangan telah disampaikan kepada seluruh Anggota DPR Rl oleh Sekjen DPR Rl .","Other"
"466","Terima kasih .","Other"
"467","Dengan demikian selesailah acara Rapat Paripurna Dewan hari ini .","Other"
"468","selaku Pimpinan Rapat kami menyampaikan ucapan terima kasih kepada yang terhormat para Anggota Dewan dan hadirin sekalian atas ketekunan dan kesabarannya dalam mengikuti Rapat Paripurna Dewan hari ini .","Statement"
"469","27Dengan seizin Sidang Dewan, maka perkenankanlah kami menutup Rapat Paripurna dengan ucapan Wallahul Muwafiq ila aqwamith Thariq, Wassalamu'alaikum Warrahmatullahi Wabarakatuh .","Statement"
"470","(RAPAT DITUTUP PUKUL 16 .","Other"
"471","40 WIB)Jakarta, 21 April 2015KETU RAPAT,Dr .","Other"
"472","AGUS HERMANTO  .","Other"
